,commitinfo,codeBlockId,unique,Revision,clonesets,codeBlock_start,codeBlock_end,nloc,codeBlock_fileinfo,codeCloneBlockId,change_type,codeBlock_start_diffs,codeBlock_end_diff,nloc_diff,status,disappearing_clone_diffs
27,b5a523f87afca3491f9137bc775277ef96cba982,76,R1CodeBlock76,1,20,939,960,2099,ParserTokenManager.java,CodeBlock80,ModificationType.ADD,,new,new,new,disappearing_clone
28,b5a523f87afca3491f9137bc775277ef96cba982,77,R1CodeBlock77,1,20,961,982,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
29,b5a523f87afca3491f9137bc775277ef96cba982,78,R1CodeBlock78,1,20,983,1002,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
30,b5a523f87afca3491f9137bc775277ef96cba982,79,R1CodeBlock79,1,20,1003,1024,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
31,b5a523f87afca3491f9137bc775277ef96cba982,80,R1CodeBlock80,1,20,1025,1046,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
32,b5a523f87afca3491f9137bc775277ef96cba982,81,R1CodeBlock81,1,20,1047,1070,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
33,b5a523f87afca3491f9137bc775277ef96cba982,82,R1CodeBlock82,1,20,1071,1092,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
34,b5a523f87afca3491f9137bc775277ef96cba982,83,R1CodeBlock83,1,20,1093,1110,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
35,b5a523f87afca3491f9137bc775277ef96cba982,84,R1CodeBlock84,1,20,1111,1133,2099,ParserTokenManager.java,CodeBlock85,ModificationType.ADD,,new,new,new,disappearing_clone
36,b5a523f87afca3491f9137bc775277ef96cba982,85,R1CodeBlock85,1,18,1134,1151,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
37,b5a523f87afca3491f9137bc775277ef96cba982,86,R1CodeBlock86,1,18,1152,1169,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
38,b5a523f87afca3491f9137bc775277ef96cba982,87,R1CodeBlock87,1,18,1170,1187,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
39,b5a523f87afca3491f9137bc775277ef96cba982,88,R1CodeBlock88,1,18,1188,1205,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
22,b5a523f87afca3491f9137bc775277ef96cba982,55,R1CodeBlock55,1,26,62,83,11,Node.java,CodeBlock54,ModificationType.ADD,,new,new,new,disappearing_clone
21,b5a523f87afca3491f9137bc775277ef96cba982,54,R1CodeBlock54,1,26,56,83,11,Node.java,CodeBlock55,ModificationType.ADD,,new,new,new,disappearing_clone
20,b5a523f87afca3491f9137bc775277ef96cba982,53,R1CodeBlock53,1,26,50,83,11,Node.java,CodeBlock55,ModificationType.ADD,,new,new,new,disappearing_clone
